,Finish,Post,Horse,Track,Year,Odds,Odds2
0,1st,11,Real Quiet,_Preakness_Stakes,1998,2.50-1,2.50
1,2nd,10,Victory Gallop,_Preakness_Stakes,1998,2.00-1,2.00
2,3rd,3,Classic Cat,_Preakness_Stakes,1998,12.30-1,12.30
3,4th,7,Hot Wells,_Preakness_Stakes,1998,25.20-1,25.20
4,5th,2,Black Cash,_Preakness_Stakes,1998,7.10-1,7.10
5,6th,1,Spartan Cat,_Preakness_Stakes,1998,98.80-1,98.80
6,7th,6,Baquero,_Preakness_Stakes,1998,14.60-1,14.60
7,8th,5,Basic Trainee,_Preakness_Stakes,1998,63.80-1,63.80
8,9th,4,Cape Town,_Preakness_Stakes,1998,2.90-1,2.90
9,10th,8,Silver's Prospect,_Preakness_Stakes,1998,98.00-1,98.00
10,11th,scr,Coronado's Quest,_Preakness_Stakes,1998,scr,0.00
11,1st,6,Charismatic,_Preakness_Stakes,1999,8.40-1,8.40
12,2nd,5,Menifee,_Preakness_Stakes,1999,2.00-1,2.00
13,3rd,4,Badge,_Preakness_Stakes,1999,58.00-1,58.00
14,4th,11,Stephen Got Even,_Preakness_Stakes,1999,11.00-1,11.00
15,5th,8,Patience Game,_Preakness_Stakes,1999,15.60-1,15.60
16,6th,6,Adonis,_Preakness_Stakes,1999,19.80-1,19.80
17,7th,3,Cat Thief,_Preakness_Stakes,1999,5.20-1,5.20
18,8th,2,Kimberlite Pipe,_Preakness_Stakes,1999,17.40-1,17.40
19,9th,12,Valhol,_Preakness_Stakes,1999,61.70-1,61.70
20,10th,13,Vicar,_Preakness_Stakes,1999,24.00-1,24.00
21,11th,1,Torrid Sand,_Preakness_Stakes,1999,102.80-1,102.80
22,12th,10,Worldly Manner,_Preakness_Stakes,1999,5.30-1,5.30
23,13th,7,Excellent Meeting,_Preakness_Stakes,1999,6.60-1,6.60
24,14th,scr,Silverbulletday,_Preakness_Stakes,1999,scr,0.00
25,1st,4,Red Bullet,_Preakness_Stakes,2000,6.20-1,6.20
26,2nd,7,Fusaichi Pegasus,_Preakness_Stakes,2000,0.30-1,0.30
27,3rd,3,Impeachment,_Preakness_Stakes,2000,19.10-1,19.10
28,4th,6,Captain Steve,_Preakness_Stakes,2000,11.50-1,11.50
29,5th,2,Snuck In,_Preakness_Stakes,2000,19.60-1,19.60
30,6th,1,Hugh Hefner,_Preakness_Stakes,2000,49.70-1,49.70
31,7th,5,High Yield,_Preakness_Stakes,2000,7.30-1,7.30
32,8th,8,Hal's Hope,_Preakness_Stakes,2000,35.10-1,35.10
33,1st,11,Point Given,_Preakness_Stakes,2001,2.30-1,2.30
34,2nd,4,A P Valentine,_Preakness_Stakes,2001,10.20-1,10.20
35,3rd,5,Congaree,_Preakness_Stakes,2001,2.80-1,2.80
36,4th,10,Dollar Bill,_Preakness_Stakes,2001,8.30-1,8.30
37,5th,3,Griffinite,_Preakness_Stakes,2001,59.10-1,59.10
38,6th,7,Monarchos,_Preakness_Stakes,2001,2.30-1,2.30
39,7th,1,Marciano,_Preakness_Stakes,2001,46.30-1,46.30
40,8th,9,Bay Eagle,_Preakness_Stakes,2001,88.30-1,88.30
41,9th,8,Percy Hope,_Preakness_Stakes,2001,52.60-1,52.60
42,10th,6,Richly Blended,_Preakness_Stakes,2001,17.90-1,17.90
43,11th,2,Mr. John,_Preakness_Stakes,2001,20.20-1,20.20
44,1st,8,War Emblem,_Preakness_Stakes,2002,2.80-1,2.80
45,2nd,2,Magic Weisner,_Preakness_Stakes,2002,45.70-1,45.70
46,3rd,12,Proud Citizen,_Preakness_Stakes,2002,7.40-1,7.40
47,4th,6,Harlan's Holiday,_Preakness_Stakes,2002,5.20-1,5.20
48,5th,7,Easyfromthegitgo,_Preakness_Stakes,2002,23.40-1,23.40
49,6th,1,U S S Tinosa,_Preakness_Stakes,2002,10.20-1,10.20
50,7th,4,Crimson Hero,_Preakness_Stakes,2002,14.80-1,14.80
51,8th,5,Medaglia d'Oro,_Preakness_Stakes,2002,3.00-1,3.00
52,9th,3,Straight Gin,_Preakness_Stakes,2002,28.00-1,28.00
53,10th,1,Menacing Dennis,_Preakness_Stakes,2002,51.20-1,51.20
54,11th,9,Table Limit,_Preakness_Stakes,2002,23.10-1,23.10
55,12th,10,Booklet,_Preakness_Stakes,2002,9.90-1,9.90
56,13th,11,Equality,_Preakness_Stakes,2002,27.50-1,27.50
57,1st,9,Funny Cide,_Preakness_Stakes,2003,1.90-1,1.90
58,2nd,6,Midway Road,_Preakness_Stakes,2003,20.00-1,20.00
59,3rd,2,Scrimshaw,_Preakness_Stakes,2003,4.90-1,4.90
60,4th,7,Peace Rules,_Preakness_Stakes,2003,2.40-1,2.40
61,5th,10,Senor Swinger,_Preakness_Stakes,2003,4.90-1,4.90
62,6th,8,New York Hero,_Preakness_Stakes,2003,19.60-1,19.60
63,7th,3,Foufa's Warrior,_Preakness_Stakes,2003,22.40-1,22.40
64,8th,1,Cherokee's Boy,_Preakness_Stakes,2003,9.70-1,9.70
65,9th,5,Ten Cents A Shine,_Preakness_Stakes,2003,8.50-1,8.50
66,10th,4,Kissin Saint,_Preakness_Stakes,2003,10.20-1,10.20
67,1st,7,Smarty Jones,_Preakness_Stakes,2004,0.70-1,0.70
68,2nd,10,Rock Hard Ten,_Preakness_Stakes,2004,6.90-1,6.90
69,3rd,9,Eddington,_Preakness_Stakes,2004,13.20-1,13.20
70,4th,1,Lion Heart,_Preakness_Stakes,2004,4.90-1,4.90
71,5th,8,Imperialism,_Preakness_Stakes,2004,6.60-1,6.60
72,6th,6,Sir Shackleton,_Preakness_Stakes,2004,37.50-1,37.50
73,7th,2,Borrego,_Preakness_Stakes,2004,12.80-1,12.80
74,8th,3,Little Matth Man,_Preakness_Stakes,2004,45.00-1,45.00
75,9th,5,Song of the Sword,_Preakness_Stakes,2004,51.00-1,51.00
76,10th,11,Water Cannon,_Preakness_Stakes,2004,39.50-1,39.50
77,1st,12,Afleet Alex,_Preakness_Stakes,2005,3.30-1,3.30
78,2nd,5,Scrappy T,_Preakness_Stakes,2005,13.30-1,13.30
79,3rd,13,Giacomo,_Preakness_Stakes,2005,6.00-1,6.00
80,4th,10,Sun King,_Preakness_Stakes,2005,21.10-1,21.10
81,5th,11,High Limit,_Preakness_Stakes,2005,18.70-1,18.70
82,6th,3,Noble Causeway,_Preakness_Stakes,2005,11.30-1,11.30
83,7th,4,Greeley's Galaxy,_Preakness_Stakes,2005,9.40-1,9.40
84,8th,1,Malibu Moonshine,_Preakness_Stakes,2005,24.00-1,24.00
85,9th,7,Closing Argument,_Preakness_Stakes,2005,7.20-1,7.20
86,10th,2,High Fly,_Preakness_Stakes,2005,5.10-1,5.10
87,11th,6,Hal's Image,_Preakness_Stakes,2005,23.50-1,23.50
88,12th,9,Wilko,_Preakness_Stakes,2005,13.30-1,13.30
89,13th,5,Galloping Grocer,_Preakness_Stakes,2005,27.00-1,27.00
