,cost_places,cost_shows,cost_wins,date,method,no_bets_places,no_bets_shows,no_bets_wins,profit_places,profit_shows,profit_wins,race,strategy
0,0,0,10,1999-05-15,baseline,0,0,5,0.0,0.0,0.0,PIM,baseline
1,0,0,12,2000-05-20,baseline,0,0,6,0.0,0.0,0.0,PIM,baseline
2,0,0,20,2001-05-19,baseline,0,0,10,0.0,0.0,6.6,PIM,baseline
3,0,0,22,2002-05-18,baseline,0,0,11,0.0,0.0,0.0,PIM,baseline
4,0,0,12,2003-05-17,baseline,0,0,6,0.0,0.0,0.0,PIM,baseline
5,0,0,16,2004-05-15,baseline,0,0,8,0.0,0.0,0.0,PIM,baseline
6,0,0,24,2005-05-21,baseline,0,0,12,0.0,0.0,8.6,PIM,baseline
7,0,0,16,2006-05-20,baseline,0,0,8,0.0,0.0,27.8,PIM,baseline
8,0,0,16,2007-05-19,baseline,0,0,8,0.0,0.0,8.8,PIM,baseline
9,0,0,22,2008-05-17,baseline,0,0,11,0.0,0.0,0.0,PIM,baseline
10,0,0,22,2009-05-16,baseline,0,0,11,0.0,0.0,0.0,PIM,baseline
11,0,0,20,2010-05-15,baseline,0,0,10,0.0,0.0,6.8,PIM,baseline
12,0,0,20,2011-05-21,baseline,0,0,10,0.0,0.0,0.0,PIM,baseline
13,0,0,16,2012-05-19,baseline,0,0,8,0.0,0.0,0.0,PIM,baseline
14,0,0,14,2013-05-18,baseline,0,0,7,0.0,0.0,32.8,PIM,baseline
15,0,0,14,2014-05-17,baseline,0,0,7,0.0,0.0,0.0,PIM,baseline
16,0,0,12,2015-05-16,baseline,0,0,6,0.0,0.0,0.0,PIM,baseline
17,0,0,22,1999-05-01,baseline,0,0,11,0.0,0.0,64.6,CHU,baseline
18,0,0,16,2000-05-06,baseline,0,0,8,0.0,0.0,6.6,CHU,baseline
19,0,0,32,2001-05-05,baseline,0,0,16,0.0,0.0,23.0,CHU,baseline
20,0,0,28,2002-05-04,baseline,0,0,14,0.0,0.0,43.0,CHU,baseline
21,0,0,26,2003-05-03,baseline,0,0,13,0.0,0.0,27.6,CHU,baseline
22,0,0,32,2004-05-01,baseline,0,0,16,0.0,0.0,10.2,CHU,baseline
23,0,0,34,2005-05-07,baseline,0,0,17,0.0,0.0,102.6,CHU,baseline
24,0,0,36,2006-05-06,baseline,0,0,18,0.0,0.0,14.2,CHU,baseline
25,0,0,36,2007-05-05,baseline,0,0,18,0.0,0.0,0.0,CHU,baseline
26,0,0,36,2008-05-03,baseline,0,0,18,0.0,0.0,0.0,CHU,baseline
27,0,0,8,2009-05-02,baseline,0,0,4,0.0,0.0,0.0,CHU,baseline
28,0,0,38,2010-05-01,baseline,0,0,19,0.0,0.0,18.0,CHU,baseline
