,track,year,month,day
0,AQU,2015,01,01
1,AQU,2015,01,02
2,AQU,2015,01,03
3,AQU,2015,01,04
4,AQU,2015,01,09
5,AQU,2015,01,11
6,AQU,2015,01,15
7,AQU,2015,01,16
8,AQU,2015,01,17
9,AQU,2015,01,18
10,AQU,2015,01,19
11,AQU,2015,01,22
12,AQU,2015,01,23
13,AQU,2015,01,25
14,AQU,2015,01,29
15,AQU,2015,01,30
16,AQU,2015,02,01
17,AQU,2015,02,05
18,AQU,2015,02,06
19,AQU,2015,02,07
20,AQU,2015,02,08
21,AQU,2015,02,11
22,AQU,2015,02,12
23,AQU,2015,02,14
24,AQU,2015,02,21
25,AQU,2015,02,22
26,AQU,2015,02,26
27,AQU,2015,02,27
28,AQU,2015,02,28
29,AQU,2015,03,01
30,AQU,2015,03,07
31,AQU,2015,03,08
32,AQU,2015,03,12
33,AQU,2015,03,13
34,AQU,2015,03,14
35,AQU,2015,03,15
36,AQU,2015,03,19
37,AQU,2015,03,21
38,AQU,2015,03,22
39,AQU,2015,03,26
40,AQU,2015,03,27
41,AQU,2015,03,28
42,AQU,2015,04,01
43,AQU,2015,04,02
44,AQU,2015,04,03
45,AQU,2015,04,04
46,AQU,2015,04,08
47,AQU,2015,04,09
48,AQU,2015,04,10
49,AQU,2015,04,11
50,AQU,2015,04,12
51,AQU,2015,04,15
52,AQU,2015,04,16
53,AQU,2015,04,17
54,AQU,2015,04,18
55,AQU,2015,04,19
56,AQU,2015,04,22
57,AQU,2015,04,23
58,AQU,2015,04,24
59,AQU,2015,04,25
60,AQU,2015,04,26
61,AQU,2015,11,04
62,AQU,2015,11,05
63,AQU,2015,11,06
64,AQU,2015,11,07
65,AQU,2015,11,08
66,AQU,2015,11,09
67,AQU,2015,11,11
68,AQU,2015,11,12
69,AQU,2015,11,13
70,AQU,2015,11,14
71,AQU,2015,11,15
72,AQU,2015,11,18
73,AQU,2015,11,19
74,AQU,2015,11,20
75,AQU,2015,11,21
76,AQU,2015,11,22
77,AQU,2015,01,01
78,AQU,2015,01,02
79,AQU,2015,01,03
80,AQU,2015,01,04
81,AQU,2015,01,09
82,AQU,2015,01,11
83,AQU,2015,01,15
84,AQU,2015,01,16
85,AQU,2015,01,17
86,AQU,2015,01,18
87,AQU,2015,01,19
88,AQU,2015,01,22
89,AQU,2015,01,23
90,AQU,2015,01,25
91,AQU,2015,01,29
92,AQU,2015,01,30
93,AQU,2015,02,01
94,AQU,2015,02,05
95,AQU,2015,02,06
96,AQU,2015,02,07
97,AQU,2015,02,08
98,AQU,2015,02,11
99,AQU,2015,02,12
100,AQU,2015,02,14
101,AQU,2015,02,21
102,AQU,2015,02,22
103,AQU,2015,02,26
104,AQU,2015,02,27
105,AQU,2015,02,28
106,AQU,2015,03,01
107,AQU,2015,03,07
108,AQU,2015,03,08
109,AQU,2015,03,12
110,AQU,2015,03,13
111,AQU,2015,03,14
112,AQU,2015,03,15
113,AQU,2015,03,19
114,AQU,2015,03,21
115,AQU,2015,03,22
116,AQU,2015,03,26
117,AQU,2015,03,27
118,AQU,2015,03,28
119,AQU,2015,04,01
120,AQU,2015,04,02
121,AQU,2015,04,03
122,AQU,2015,04,04
123,AQU,2015,04,08
124,AQU,2015,04,09
125,AQU,2015,04,10
126,AQU,2015,04,11
127,AQU,2015,04,12
128,AQU,2015,04,15
129,AQU,2015,04,16
130,AQU,2015,04,17
131,AQU,2015,04,18
132,AQU,2015,04,19
133,AQU,2015,04,22
134,AQU,2015,04,23
135,AQU,2015,04,24
136,AQU,2015,04,25
137,AQU,2015,04,26
138,AQU,2015,11,04
139,AQU,2015,11,05
140,AQU,2015,11,06
141,AQU,2015,11,07
142,AQU,2015,11,08
143,AQU,2015,11,09
144,AQU,2015,11,11
145,AQU,2015,11,12
146,AQU,2015,11,13
147,AQU,2015,11,14
148,AQU,2015,11,15
149,AQU,2015,11,18
150,AQU,2015,11,19
151,AQU,2015,11,20
152,AQU,2015,11,21
153,AQU,2015,11,22
154,AQU,2015,01,01
155,AQU,2015,01,02
156,AQU,2015,01,03
157,AQU,2015,01,04
158,AQU,2015,01,09
159,AQU,2015,01,11
160,AQU,2015,01,15
161,AQU,2015,01,16
162,AQU,2015,01,17
163,AQU,2015,01,18
164,AQU,2015,01,19
165,AQU,2015,01,22
166,AQU,2015,01,23
167,AQU,2015,01,25
168,AQU,2015,01,29
169,AQU,2015,01,30
170,AQU,2015,02,01
171,AQU,2015,02,05
172,AQU,2015,02,06
173,AQU,2015,02,07
174,AQU,2015,02,08
175,AQU,2015,02,11
176,AQU,2015,02,12
177,AQU,2015,02,14
178,AQU,2015,02,21
179,AQU,2015,02,22
180,AQU,2015,02,26
181,AQU,2015,02,27
182,AQU,2015,02,28
183,AQU,2015,03,01
184,AQU,2015,03,07
185,AQU,2015,03,08
186,AQU,2015,03,12
187,AQU,2015,03,13
188,AQU,2015,03,14
189,AQU,2015,03,15
190,AQU,2015,03,19
191,AQU,2015,03,21
192,AQU,2015,03,22
193,AQU,2015,03,26
194,AQU,2015,03,27
195,AQU,2015,03,28
196,AQU,2015,04,01
197,AQU,2015,04,02
198,AQU,2015,04,03
199,AQU,2015,04,04
200,AQU,2015,04,08
201,AQU,2015,04,09
202,AQU,2015,04,10
203,AQU,2015,04,11
204,AQU,2015,04,12
205,AQU,2015,04,15
206,AQU,2015,04,16
207,AQU,2015,04,17
208,AQU,2015,04,18
209,AQU,2015,04,19
210,AQU,2015,04,22
211,AQU,2015,04,23
212,AQU,2015,04,24
213,AQU,2015,04,25
214,AQU,2015,04,26
215,AQU,2015,11,04
216,AQU,2015,11,05
217,AQU,2015,11,06
218,AQU,2015,11,07
219,AQU,2015,11,08
220,AQU,2015,11,09
221,AQU,2015,11,11
222,AQU,2015,11,12
223,AQU,2015,11,13
224,AQU,2015,11,14
225,AQU,2015,11,15
226,AQU,2015,11,18
227,AQU,2015,11,19
228,AQU,2015,11,20
229,AQU,2015,11,21
230,AQU,2015,11,22
231,AQU,2015,01,01
232,AQU,2015,01,02
233,AQU,2015,01,03
234,AQU,2015,01,04
235,AQU,2015,01,09
236,AQU,2015,01,11
237,AQU,2015,01,15
238,AQU,2015,01,16
239,AQU,2015,01,17
240,AQU,2015,01,18
241,AQU,2015,01,19
242,AQU,2015,01,22
243,AQU,2015,01,23
244,AQU,2015,01,25
245,AQU,2015,01,29
246,AQU,2015,01,30
247,AQU,2015,02,01
248,AQU,2015,02,05
249,AQU,2015,02,06
250,AQU,2015,02,07
251,AQU,2015,02,08
252,AQU,2015,02,11
253,AQU,2015,02,12
254,AQU,2015,02,14
255,AQU,2015,02,21
256,AQU,2015,02,22
257,AQU,2015,02,26
258,AQU,2015,02,27
259,AQU,2015,02,28
260,AQU,2015,03,01
261,AQU,2015,03,07
262,AQU,2015,03,08
263,AQU,2015,03,12
264,AQU,2015,03,13
265,AQU,2015,03,14
266,AQU,2015,03,15
267,AQU,2015,03,19
268,AQU,2015,03,21
269,AQU,2015,03,22
270,AQU,2015,03,26
271,AQU,2015,03,27
272,AQU,2015,03,28
273,AQU,2015,04,01
274,AQU,2015,04,02
275,AQU,2015,04,03
276,AQU,2015,04,04
277,AQU,2015,04,08
278,AQU,2015,04,09
279,AQU,2015,04,10
280,AQU,2015,04,11
281,AQU,2015,04,12
282,AQU,2015,04,15
283,AQU,2015,04,16
284,AQU,2015,04,17
285,AQU,2015,04,18
286,AQU,2015,04,19
287,AQU,2015,04,22
288,AQU,2015,04,23
289,AQU,2015,04,24
290,AQU,2015,04,25
291,AQU,2015,04,26
292,AQU,2015,11,04
293,AQU,2015,11,05
294,AQU,2015,11,06
295,AQU,2015,11,07
296,AQU,2015,11,08
297,AQU,2015,11,09
298,AQU,2015,11,11
299,AQU,2015,11,12
300,AQU,2015,11,13
301,AQU,2015,11,14
302,AQU,2015,11,15
303,AQU,2015,11,18
304,AQU,2015,11,19
305,AQU,2015,11,20
306,AQU,2015,11,21
307,AQU,2015,11,22
308,AQU,2015,01,01
309,AQU,2015,01,02
310,AQU,2015,01,03
311,AQU,2015,01,04
312,AQU,2015,01,09
313,AQU,2015,01,11
314,AQU,2015,01,15
315,AQU,2015,01,16
316,AQU,2015,01,17
317,AQU,2015,01,18
318,AQU,2015,01,19
319,AQU,2015,01,22
320,AQU,2015,01,23
321,AQU,2015,01,25
322,AQU,2015,01,29
323,AQU,2015,01,30
324,AQU,2015,02,01
325,AQU,2015,02,05
326,AQU,2015,02,06
327,AQU,2015,02,07
328,AQU,2015,02,08
329,AQU,2015,02,11
330,AQU,2015,02,12
331,AQU,2015,02,14
332,AQU,2015,02,21
333,AQU,2015,02,22
334,AQU,2015,02,26
335,AQU,2015,02,27
336,AQU,2015,02,28
337,AQU,2015,03,01
338,AQU,2015,03,07
339,AQU,2015,03,08
340,AQU,2015,03,12
341,AQU,2015,03,13
342,AQU,2015,03,14
343,AQU,2015,03,15
344,AQU,2015,03,19
345,AQU,2015,03,21
346,AQU,2015,03,22
347,AQU,2015,03,26
348,AQU,2015,03,27
349,AQU,2015,03,28
350,AQU,2015,04,01
351,AQU,2015,04,02
352,AQU,2015,04,03
353,AQU,2015,04,04
354,AQU,2015,04,08
355,AQU,2015,04,09
356,AQU,2015,04,10
357,AQU,2015,04,11
358,AQU,2015,04,12
359,AQU,2015,04,15
360,AQU,2015,04,16
361,AQU,2015,04,17
362,AQU,2015,04,18
363,AQU,2015,04,19
364,AQU,2015,04,22
365,AQU,2015,04,23
366,AQU,2015,04,24
367,AQU,2015,04,25
368,AQU,2015,04,26
369,AQU,2015,11,04
370,AQU,2015,11,05
371,AQU,2015,11,06
372,AQU,2015,11,07
373,AQU,2015,11,08
374,AQU,2015,11,09
375,AQU,2015,11,11
376,AQU,2015,11,12
377,AQU,2015,11,13
378,AQU,2015,11,14
379,AQU,2015,11,15
380,AQU,2015,11,18
381,AQU,2015,11,19
382,AQU,2015,11,20
383,AQU,2015,11,21
384,AQU,2015,11,22
385,AQU,2015,01,01
386,AQU,2015,01,02
387,AQU,2015,01,03
388,AQU,2015,01,04
389,AQU,2015,01,09
390,AQU,2015,01,11
391,AQU,2015,01,15
392,AQU,2015,01,16
393,AQU,2015,01,17
394,AQU,2015,01,18
395,AQU,2015,01,19
396,AQU,2015,01,22
397,AQU,2015,01,23
398,AQU,2015,01,25
399,AQU,2015,01,29
400,AQU,2015,01,30
401,AQU,2015,02,01
402,AQU,2015,02,05
403,AQU,2015,02,06
404,AQU,2015,02,07
405,AQU,2015,02,08
406,AQU,2015,02,11
407,AQU,2015,02,12
408,AQU,2015,02,14
409,AQU,2015,02,21
410,AQU,2015,02,22
411,AQU,2015,02,26
412,AQU,2015,02,27
413,AQU,2015,02,28
414,AQU,2015,03,01
415,AQU,2015,03,07
416,AQU,2015,03,08
417,AQU,2015,03,12
418,AQU,2015,03,13
419,AQU,2015,03,14
420,AQU,2015,03,15
421,AQU,2015,03,19
422,AQU,2015,03,21
423,AQU,2015,03,22
424,AQU,2015,03,26
425,AQU,2015,03,27
426,AQU,2015,03,28
427,AQU,2015,04,01
428,AQU,2015,04,02
429,AQU,2015,04,03
430,AQU,2015,04,04
431,AQU,2015,04,08
432,AQU,2015,04,09
433,AQU,2015,04,10
434,AQU,2015,04,11
435,AQU,2015,04,12
436,AQU,2015,04,15
437,AQU,2015,04,16
438,AQU,2015,04,17
439,AQU,2015,04,18
440,AQU,2015,04,19
441,AQU,2015,04,22
442,AQU,2015,04,23
443,AQU,2015,04,24
444,AQU,2015,04,25
445,AQU,2015,04,26
446,AQU,2015,11,04
447,AQU,2015,11,05
448,AQU,2015,11,06
449,AQU,2015,11,07
450,AQU,2015,11,08
451,AQU,2015,11,09
452,AQU,2015,11,11
453,AQU,2015,11,12
454,AQU,2015,11,13
455,AQU,2015,11,14
456,AQU,2015,11,15
457,AQU,2015,11,18
458,AQU,2015,11,19
459,AQU,2015,11,20
460,AQU,2015,11,21
461,AQU,2015,11,22
462,AQU,2015,01,01
463,AQU,2015,01,02
464,AQU,2015,01,03
465,AQU,2015,01,04
466,AQU,2015,01,09
467,AQU,2015,01,11
468,AQU,2015,01,15
469,AQU,2015,01,16
470,AQU,2015,01,17
471,AQU,2015,01,18
472,AQU,2015,01,19
473,AQU,2015,01,22
474,AQU,2015,01,23
475,AQU,2015,01,25
476,AQU,2015,01,29
477,AQU,2015,01,30
478,AQU,2015,02,01
479,AQU,2015,02,05
480,AQU,2015,02,06
481,AQU,2015,02,07
482,AQU,2015,02,08
483,AQU,2015,02,11
484,AQU,2015,02,12
485,AQU,2015,02,14
486,AQU,2015,02,21
487,AQU,2015,02,22
488,AQU,2015,02,26
489,AQU,2015,02,27
490,AQU,2015,02,28
491,AQU,2015,03,01
492,AQU,2015,03,07
493,AQU,2015,03,08
494,AQU,2015,03,12
495,AQU,2015,03,13
496,AQU,2015,03,14
497,AQU,2015,03,15
498,AQU,2015,03,19
499,AQU,2015,03,21
500,AQU,2015,03,22
501,AQU,2015,03,26
502,AQU,2015,03,27
503,AQU,2015,03,28
504,AQU,2015,04,01
505,AQU,2015,04,02
506,AQU,2015,04,03
507,AQU,2015,04,04
508,AQU,2015,04,08
509,AQU,2015,04,09
510,AQU,2015,04,10
