,track,year,month,day,racenum,firstnum,first,secondnum,second,thirdnum,third,win,place1,place2,show1,show2,show3
0,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
1,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
2,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
3,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
4,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
5,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
6,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
7,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
8,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
9,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
10,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
11,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
12,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
13,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
14,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
15,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
16,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
17,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
18,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
19,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
20,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
21,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
22,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
23,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
24,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
25,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
26,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
27,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
28,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
29,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
30,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
31,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
32,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
33,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
34,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
35,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
36,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
37,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
38,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
39,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
40,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
41,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
42,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
43,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
44,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
45,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
46,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
47,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
48,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
49,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
50,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
51,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
52,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
53,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
54,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
55,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
56,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
