,track,year,month,day
0,PAR,1998,10,03
1,PAR,1998,10,04
2,PAR,1998,10,05
3,PAR,1998,10,06
4,PAR,1998,10,09
5,PAR,1998,10,10
6,PAR,1998,10,11
7,PAR,1998,10,12
8,PAR,1998,10,13
9,PAR,1998,10,16
10,PAR,1998,10,17
11,PAR,1998,10,18
12,PAR,1998,10,19
13,PAR,1998,10,20
14,PAR,1998,10,23
15,PAR,1998,10,24
16,PAR,1998,10,25
17,PAR,1998,10,26
18,PAR,1998,10,27
19,PAR,1998,10,30
20,PAR,1998,10,31
21,PAR,1998,11,01
22,PAR,1998,11,02
23,PAR,1998,11,03
24,PAR,1998,11,06
25,PAR,1998,11,07
26,PAR,1998,11,08
27,PAR,1998,11,09
28,PAR,1998,11,10
29,PAR,1998,11,11
30,PAR,1998,11,13
31,PAR,1998,11,14
32,PAR,1998,11,15
33,PAR,1998,11,16
34,PAR,1998,11,17
35,PAR,1998,11,20
36,PAR,1998,11,21
37,PAR,1998,11,22
38,PAR,1998,11,23
39,PAR,1998,11,24
40,PAR,1998,11,27
41,PAR,1998,11,28
42,PAR,1998,11,29
43,PAR,1998,11,30
44,PAR,1998,12,01
45,PAR,1998,12,04
46,PAR,1998,12,05
47,PAR,1998,12,06
48,PAR,1998,12,07
49,PAR,1998,12,08
50,PAR,1998,12,11
51,PAR,1998,12,12
52,PAR,1998,12,13
53,PAR,1998,12,14
54,PAR,1998,12,15
55,PAR,1998,12,18
56,PAR,1998,12,19
57,PAR,1998,12,20
58,PAR,1998,12,21
59,PAR,1998,12,27
60,PAR,1998,12,28
61,PAR,1998,12,29
62,PAR,1999,04,12
63,PAR,1999,04,13
64,PAR,1999,04,16
65,PAR,1999,04,17
66,PAR,1999,04,18
67,PAR,1999,04,19
68,PAR,1999,04,21
69,PAR,1999,04,22
70,PAR,1999,04,23
71,PAR,1999,04,24
72,PAR,1999,04,25
73,PAR,1999,04,30
74,PAR,1999,05,01
75,PAR,1999,05,02
76,PAR,1999,10,02
77,PAR,1999,10,03
78,PAR,1999,10,04
79,PAR,1999,10,08
80,PAR,1999,10,09
81,PAR,1999,10,10
82,PAR,1999,10,11
83,PAR,1999,10,12
84,PAR,1999,10,15
85,PAR,1999,10,16
86,PAR,1999,10,18
87,PAR,1999,10,19
88,PAR,1999,10,22
89,PAR,1999,10,23
90,PAR,1999,10,24
91,PAR,1999,10,25
92,PAR,1999,10,26
93,PAR,1999,10,29
94,PAR,1999,10,30
95,PAR,1999,10,31
96,PAR,1999,11,01
97,PAR,1999,11,02
98,PAR,1999,11,03
99,PAR,1999,11,05
100,PAR,1999,11,06
101,PAR,1999,11,07
102,PAR,1999,11,08
103,PAR,1999,11,11
104,PAR,1999,11,12
105,PAR,1999,11,13
106,PAR,1999,11,14
107,PAR,1999,11,15
108,PAR,1999,11,16
109,PAR,1999,11,19
110,PAR,1999,11,23
111,PAR,1999,11,26
112,PAR,1999,11,27
113,PAR,1999,11,28
114,PAR,1999,11,29
115,PAR,1999,11,30
116,PAR,1999,12,04
117,PAR,1999,12,05
118,PAR,1999,12,07
119,PAR,1999,12,10
120,PAR,1999,12,12
121,PAR,1999,12,13
122,PAR,1999,12,14
123,PAR,1999,12,19
124,PAR,1999,12,22
125,PAR,1999,12,26
126,PAR,1999,12,27
127,PAR,1999,12,28
128,PAR,2000,04,10
129,PAR,2000,04,11
130,PAR,2000,04,14
131,PAR,2000,04,15
132,PAR,2000,04,16
133,PAR,2000,04,17
134,PAR,2000,04,18
135,PAR,2000,04,19
136,PAR,2000,04,21
137,PAR,2000,04,22
138,PAR,2000,04,25
139,PAR,2000,04,26
140,PAR,2000,04,27
141,PAR,2000,04,28
142,PAR,2000,04,29
143,PAR,2000,04,30
144,PAR,2000,05,01
145,PAR,2000,05,02
146,PAR,2000,05,05
147,PAR,2000,05,06
148,PAR,2000,05,07
149,PAR,2000,10,02
150,PAR,2000,10,03
151,PAR,2000,10,07
152,PAR,2000,10,08
153,PAR,2000,10,09
154,PAR,2000,10,10
155,PAR,2000,10,13
156,PAR,2000,10,14
157,PAR,2000,10,15
158,PAR,2000,10,16
159,PAR,2000,10,17
160,PAR,2000,10,20
161,PAR,2000,10,21
162,PAR,2000,10,22
163,PAR,2000,10,23
164,PAR,2000,10,24
165,PAR,2000,10,27
166,PAR,2000,10,28
167,PAR,2000,10,30
168,PAR,2000,10,31
169,PAR,2000,11,03
170,PAR,2000,11,04
171,PAR,2000,11,05
172,PAR,2000,11,06
173,PAR,2000,11,07
174,PAR,2000,11,10
175,PAR,2000,11,11
176,PAR,2000,11,12
177,PAR,2000,11,13
178,PAR,2000,11,14
179,PAR,2000,11,17
180,PAR,2000,11,18
181,PAR,2000,11,19
182,PAR,2000,11,20
183,PAR,2000,11,21
184,PAR,2000,11,24
185,PAR,2000,11,25
186,PAR,2000,11,26
187,PAR,2000,12,01
188,PAR,2000,12,02
189,PAR,2000,12,03
190,PAR,2000,12,04
191,PAR,2000,12,05
192,PAR,2000,12,08
193,PAR,2000,12,09
194,PAR,2000,12,10
195,PAR,2000,12,11
196,PAR,2000,12,12
197,PAR,2000,12,15
198,PAR,2000,12,16
199,PAR,2000,12,22
200,PAR,2000,12,23
201,PAR,2000,12,26
202,PAR,2000,12,27
203,PAR,2000,12,29
204,PAR,2000,12,30
205,PAR,2000,12,31
206,PAR,2001,01,01
207,PAR,2001,01,02
208,PAR,2001,01,05
209,PAR,2001,01,06
210,PAR,2001,01,07
211,PAR,2001,01,08
212,PAR,2001,01,12
213,PAR,2001,01,13
214,PAR,2001,01,14
215,PAR,2001,01,15
216,PAR,2001,01,16
217,PAR,2001,01,17
218,PAR,2001,01,19
219,PAR,2001,01,20
220,PAR,2001,01,21
221,PAR,2001,01,23
222,PAR,2001,01,26
223,PAR,2001,02,02
224,PAR,2001,02,03
225,PAR,2001,02,04
226,PAR,2001,02,05
227,PAR,2001,02,06
228,PAR,2001,02,09
229,PAR,2001,02,10
230,PAR,2001,02,11
231,PAR,2001,02,12
