,Post,Horse,Win,Place,Show,Track,Year,Finish,Odds
0,11.0,Real Quiet,7.0,3.6,3.0,_Preakness_Stakes,1998,1,2.5
1,10.0,Victory Gallop,,3.2,2.8,_Preakness_Stakes,1998,2,2.0
2,3.0,Classic Cat,,,4.8,_Preakness_Stakes,1998,3,12.3
3,6.0,Charismatic,18.8,7.6,5.8,_Preakness_Stakes,1999,1,8.4
4,5.0,Menifee,,3.6,3.2,_Preakness_Stakes,1999,2,2.0
5,4.0,Badge,,,18.8,_Preakness_Stakes,1999,3,58.0
6,4.0,Red Bullet,14.4,3.2,2.8,_Preakness_Stakes,2000,1,6.2
7,7.0,Fusaichi Pegasus,,2.6,2.2,_Preakness_Stakes,2000,2,0.3
8,3.0,Impeachment,,,3.6,_Preakness_Stakes,2000,3,19.1
9,11.0,Point Given,6.6,5.0,4.0,_Preakness_Stakes,2001,1,2.3
10,4.0,A P Valentine,,8.2,5.2,_Preakness_Stakes,2001,2,10.2
11,5.0,Congaree,,,3.4,_Preakness_Stakes,2001,3,2.8
12,8.0,War Emblem,7.6,6.0,4.4,_Preakness_Stakes,2002,1,2.8
13,2.0,Magic Weisner,,33.0,14.0,_Preakness_Stakes,2002,2,45.7
14,9.0,Funny Cide,5.8,4.6,3.4,_Preakness_Stakes,2003,1,1.9
15,6.0,Midway Road,,15.4,9.0,_Preakness_Stakes,2003,2,20.0
16,7.0,Smarty Jones,3.4,3.0,2.6,_Preakness_Stakes,2004,1,0.7
17,10.0,Rock Hard Ten,,5.0,4.0,_Preakness_Stakes,2004,2,6.9
18,9.0,Eddington,,,5.2,_Preakness_Stakes,2004,3,13.2
19,12.0,Afleet Alex,8.6,5.0,3.2,_Preakness_Stakes,2005,1,3.3
20,5.0,Scrappy T,,11.2,5.8,_Preakness_Stakes,2005,2,13.3
21,13.0,Giacomo,,,4.8,_Preakness_Stakes,2005,3,6.0
22,8.0,Bernardini,27.8,9.4,5.8,_Preakness_Stakes,2006,1,12.9
23,7.0,Sweetnorthernsaint,,7.8,5.0,_Preakness_Stakes,2006,2,8.4
24,3.0,Hemingway's Key,,,8.0,_Preakness_Stakes,2006,3,29.4
25,4.0,Curlin,8.8,3.8,2.8,_Preakness_Stakes,2007,1,3.4
26,8.0,Street Sense,,3.0,2.4,_Preakness_Stakes,2007,2,1.3
27,7.0,Hard Spun,,,3.0,_Preakness_Stakes,2007,3,4.1
28,7.0,Big Brown,2.4,2.6,2.4,_Preakness_Stakes,2008,1,0.2
29,1.0,Macho Again,,17.2,10.4,_Preakness_Stakes,2008,2,40.0
30,3.0,Icabad Crane,,,5.6,_Preakness_Stakes,2008,3,22.0
31,13.0,Rachel Alexandra,5.6,4.6,3.6,_Preakness_Stakes,2009,1,1.6
32,2.0,Mine That Bird,,6.6,4.8,_Preakness_Stakes,2009,2,6.0
33,3.0,Musket Man,,,5.0,_Preakness_Stakes,2009,3,8.0
34,7.0,Lookin At Lucky,6.8,4.6,3.8,_Preakness_Stakes,2010,1,3.0
35,11.0,First Dude,,16.6,9.2,_Preakness_Stakes,2010,2,20.0
36,6.0,Jackson Bend,,,6.6,_Preakness_Stakes,2010,3,12.0
37,5.0,Shackleford,27.2,10.2,6.8,_Preakness_Stakes,2011,1,12.0
38,11.0,Animal Kingdom,,4.2,3.6,_Preakness_Stakes,2011,2,2.0
39,1.0,Astrology,,,8.0,_Preakness_Stakes,2011,3,15.0
40,9.0,I'll Have Another,8.4,3.8,2.8,_Preakness_Stakes,2012,1,2.5
41,7.0,Bodemeister,,3.2,2.8,_Preakness_Stakes,2012,2,1.6
42,6.0,Creative Cause,,,3.6,_Preakness_Stakes,2012,3,6.0
43,6.0,Oxbow,32.8,12.0,6.8,_Preakness_Stakes,2013,1,15.0
44,9.0,Itsmyluckyday,,7.8,5.0,_Preakness_Stakes,2013,2,10.0
45,5.0,Mylute,,,5.2,_Preakness_Stakes,2013,3,5.0
46,3.0,California Chrome,3.0,3.0,2.4,_Preakness_Stakes,2014,1,0.6
47,8.0,Social Inclusion,,,3.4,_Preakness_Stakes,2014,3,5.0
48,1.0,American Pharoah,3.8,3.4,2.8,_Preakness_Stakes,2015,1,0.8
49,5.0,Tale of Verve,,19.0,8.8,_Preakness_Stakes,2015,2,30.0
50,7.0,Divining Rod,,,5.2,_Preakness_Stakes,2015,3,12.0
51,2.0,Real Quiet,18.8,8.8,5.8,_Kentucky_Derby,1998,1,8.4
52,12.0,Victory Gallop,,13.0,7.6,_Kentucky_Derby,1998,2,14.6
53,7.0,Indian Charlie,,,4.2,_Kentucky_Derby,1998,3,2.7
54,11.0,Charismatic,64.6,27.8,14.4,_Kentucky_Derby,1999,1,31.3
55,13.0,Menifee,,8.4,5.8,_Kentucky_Derby,1999,2,7.0
56,8.0,Cat Thief,,,5.8,_Kentucky_Derby,1999,3,7.4
57,12.0,Fusaichi Pegasus,6.6,5.6,4.0,_Kentucky_Derby,2000,1,2.3
58,5.0,Aptitude,,9.8,5.8,_Kentucky_Derby,2000,2,11.8
59,0.0,Impeachment,,,4.0,_Kentucky_Derby,2000,3,6.2
60,16.0,Monarchos,23.0,11.8,8.8,_Kentucky_Derby,2001,1,10.5
61,13.0,Invisible Ink,,46.6,21.2,_Kentucky_Derby,2001,2,55.0
62,8.0,Congaree,,,7.2,_Kentucky_Derby,2001,3,7.2
63,5.0,War Emblem,43.0,22.8,13.6,_Kentucky_Derby,2002,1,20.5
64,13.0,Proud Citizen,,24.6,13.4,_Kentucky_Derby,2002,2,23.3
65,3.0,Perfect Drift,,,6.4,_Kentucky_Derby,2002,3,7.9
66,6.0,Funny Cide,27.6,12.4,8.2,_Kentucky_Derby,2003,1,12.8
67,12.0,Empire Maker,,5.8,4.4,_Kentucky_Derby,2003,2,2.5
68,5.0,Peace Rules,,,6.0,_Kentucky_Derby,2003,3,6.3
69,15.0,Smarty Jones,10.2,6.2,4.8,_Kentucky_Derby,2004,1,4.1
70,3.0,Lion Heart,,8.2,5.8,_Kentucky_Derby,2004,2,5.4
71,10.0,Imperialism,,,6.2,_Kentucky_Derby,2004,3,10.9
72,10.0,Giacomo,102.6,45.8,19.8,_Kentucky_Derby,2005,1,50.3
73,18.0,Closing Argument,,70.0,24.8,_Kentucky_Derby,2005,2,71.6
74,12.0,Afleet Alex,,,4.6,_Kentucky_Derby,2005,3,4.5
75,8.0,Barbaro,14.2,8.0,6.0,_Kentucky_Derby,2006,1,6.1
76,13.0,Bluegrass Cat,,28.4,15.4,_Kentucky_Derby,2006,2,30.0
77,2.0,Steppenwolfer,,,7.8,_Kentucky_Derby,2006,3,16.3
78,7.0,Street Sense,11.8,6.4,4.6,_Kentucky_Derby,2007,1,4.9
79,8.0,Hard Spun,,9.8,7.0,_Kentucky_Derby,2007,2,10.0
80,2.0,Curlin,,,5.6,_Kentucky_Derby,2007,3,5.0
81,20.0,Big Brown,6.8,5.0,4.8,_Kentucky_Derby,2008,1,2.0
82,5.0,Eight Belles,,10.6,6.4,_Kentucky_Derby,2008,2,13.0
83,16.0,Denis of Cork,,,11.6,_Kentucky_Derby,2008,3,27.0
84,8.0,Mine That Bird,103.2,54.0,25.8,_Kentucky_Derby,2009,1,50.6
85,2.0,Musket Man,,,12.0,_Kentucky_Derby,2009,3,19.0
86,4.0,Super Saver,18.0,8.8,6.0,_Kentucky_Derby,2010,1,15.0
87,2.0,Ice Box,,11.2,8.0,_Kentucky_Derby,2010,2,10.0
88,10.0,Paddy O'Prado,,,7.4,_Kentucky_Derby,2010,3,20.0
89,16.0,Animal Kingdom,43.8,19.6,13.0,_Kentucky_Derby,2011,1,30.0
90,19.0,Nehro,,8.8,6.4,_Kentucky_Derby,2011,2,6.0
91,13.0,Mucho Macho Man,,,7.0,_Kentucky_Derby,2011,3,12.0
92,19.0,I'll Have Another,32.6,13.8,9.0,_Kentucky_Derby,2012,1,12.0
93,6.0,Bodemeister,,6.2,5.6,_Kentucky_Derby,2012,2,4.0
94,5.0,Dullahan,,,7.2,_Kentucky_Derby,2012,3,8.0
95,16.0,Orb,12.8,7.4,5.4,_Kentucky_Derby,2013,1,3.5
96,4.0,Golden Soul,,38.6,19.6,_Kentucky_Derby,2013,2,50.0
97,3.0,Revolutionary,,,5.4,_Kentucky_Derby,2013,3,10.0
98,5.0,California Chrome,7.0,5.6,4.2,_Kentucky_Derby,2014,1,2.5
99,17.0,Commanding Curve,,31.8,15.4,_Kentucky_Derby,2014,2,50.0
100,4.0,Danza,,,6.0,_Kentucky_Derby,2014,3,10.0
101,18.0,American Pharoah,7.8,5.8,4.2,_Kentucky_Derby,2015,1,2.5
102,10.0,Firing Line,,8.4,5.4,_Kentucky_Derby,2015,2,12.0
103,8.0,Dortmund,,,4.2,_Kentucky_Derby,2015,3,3.0
104,7.0,Rags to Riches,10.6,4.4,3.2,_Belmont_Stakes,2007,1,3.0
105,3.0,Curlin,,3.0,2.3,_Belmont_Stakes,2007,2,1.2
106,2.0,Tiago,,,3.7,_Belmont_Stakes,2007,3,10.0
107,6.0,Da'Tara,79.0,28.0,14.8,_Belmont_Stakes,2008,1,38.0
108,4.0,Denis of Cork,,5.4,4.1,_Belmont_Stakes,2008,2,7.0
109,4.0,Summer Bird,25.4,9.3,4.7,_Belmont_Stakes,2009,1,12.0
110,2.0,Dunkirk,,5.4,3.6,_Belmont_Stakes,2009,2,4.5
111,7.0,Mine That Bird,,,2.6,_Belmont_Stakes,2009,3,22.0
112,7.0,Drosselmeyer,28.0,11.6,7.7,_Belmont_Stakes,2010,1,12.0
113,5.0,Fly Down,,6.8,5.1,_Belmont_Stakes,2010,2,4.5
114,11.0,First Dude,,,4.9,_Belmont_Stakes,2010,3,3.5
115,3.0,Ruler on Ice,51.5,26.0,13.6,_Belmont_Stakes,2011,1,20.0
116,2.0,Stay Thirsty,,19.4,10.8,_Belmont_Stakes,2011,2,20.0
117,5.0,Brilliant Speed,,,7.9,_Belmont_Stakes,2011,3,15.0
118,3.0,Union Rags,7.5,4.2,3.4,_Belmont_Stakes,2012,1,6.0
119,9.0,Paynter,,5.1,3.9,_Belmont_Stakes,2012,2,8.0
120,4.0,Atigun,,,10.6,_Belmont_Stakes,2012,3,30.0
121,12.0,Palace Malice,29.6,11.2,6.7,_Belmont_Stakes,2013,1,15.0
122,7.0,Oxbow,,9.9,6.1,_Belmont_Stakes,2013,2,5.0
123,5.0,Orb,,,3.9,_Belmont_Stakes,2013,3,3.0
124,11.0,Tonalist,20.4,9.6,7.0,_Belmont_Stakes,2014,1,8.0
125,8.0,Commissioner,,23.2,13.2,_Belmont_Stakes,2014,2,20.0
126,1.0,Medal Count,,,13.2,_Belmont_Stakes,2014,3,20.0
127,5.0,American Pharoah,3.5,2.8,2.5,_Belmont_Stakes,2015,1,0.6
128,6.0,Frosted,,3.5,2.9,_Belmont_Stakes,2015,2,5.0
129,7.0,Keen Ice,,,4.6,_Belmont_Stakes,2015,3,20.0
130,7.0,Hot Wells,,,,_Preakness_Stakes,1998,4,25.2
131,2.0,Black Cash,,,,_Preakness_Stakes,1998,5,7.1
132,1.0,Spartan Cat,,,,_Preakness_Stakes,1998,6,98.8
133,6.0,Baquero,,,,_Preakness_Stakes,1998,7,14.6
134,5.0,Basic Trainee,,,,_Preakness_Stakes,1998,8,63.8
135,4.0,Cape Town,,,,_Preakness_Stakes,1998,9,2.9
136,8.0,Silver's Prospect,,,,_Preakness_Stakes,1998,10,98.0
137,0.0,Coronado's Quest,,,,_Preakness_Stakes,1998,11,0.0
138,11.0,Stephen Got Even,,,,_Preakness_Stakes,1999,4,11.0
139,8.0,Patience Game,,,,_Preakness_Stakes,1999,5,15.6
140,6.0,Adonis,,,,_Preakness_Stakes,1999,6,19.8
141,3.0,Cat Thief,,,,_Preakness_Stakes,1999,7,5.2
142,2.0,Kimberlite Pipe,,,,_Preakness_Stakes,1999,8,17.4
143,12.0,Valhol,,,,_Preakness_Stakes,1999,9,61.7
144,13.0,Vicar,,,,_Preakness_Stakes,1999,10,24.0
145,1.0,Torrid Sand,,,,_Preakness_Stakes,1999,11,102.8
146,10.0,Worldly Manner,,,,_Preakness_Stakes,1999,12,5.3
147,7.0,Excellent Meeting,,,,_Preakness_Stakes,1999,13,6.6
148,0.0,Silverbulletday,,,,_Preakness_Stakes,1999,14,0.0
