,Finish,Post,Horse,Track,Year,Odds
0,1,11,Real Quiet,_Preakness_Stakes,1998,2.5
1,2,10,Victory Gallop,_Preakness_Stakes,1998,2.0
2,3,3,Classic Cat,_Preakness_Stakes,1998,12.3
3,4,7,Hot Wells,_Preakness_Stakes,1998,25.2
4,5,2,Black Cash,_Preakness_Stakes,1998,7.1
5,6,1,Spartan Cat,_Preakness_Stakes,1998,98.8
6,7,6,Baquero,_Preakness_Stakes,1998,14.6
7,8,5,Basic Trainee,_Preakness_Stakes,1998,63.8
8,9,4,Cape Town,_Preakness_Stakes,1998,2.9
9,10,8,Silver's Prospect,_Preakness_Stakes,1998,98.0
10,11,0,Coronado's Quest,_Preakness_Stakes,1998,0.0
11,1,6,Charismatic,_Preakness_Stakes,1999,8.4
12,2,5,Menifee,_Preakness_Stakes,1999,2.0
13,3,4,Badge,_Preakness_Stakes,1999,58.0
14,4,11,Stephen Got Even,_Preakness_Stakes,1999,11.0
15,5,8,Patience Game,_Preakness_Stakes,1999,15.6
16,6,6,Adonis,_Preakness_Stakes,1999,19.8
17,7,3,Cat Thief,_Preakness_Stakes,1999,5.2
18,8,2,Kimberlite Pipe,_Preakness_Stakes,1999,17.4
19,9,12,Valhol,_Preakness_Stakes,1999,61.7
20,10,13,Vicar,_Preakness_Stakes,1999,24.0
21,11,1,Torrid Sand,_Preakness_Stakes,1999,102.8
22,12,10,Worldly Manner,_Preakness_Stakes,1999,5.3
23,13,7,Excellent Meeting,_Preakness_Stakes,1999,6.6
24,14,0,Silverbulletday,_Preakness_Stakes,1999,0.0
25,1,4,Red Bullet,_Preakness_Stakes,2000,6.2
26,2,7,Fusaichi Pegasus,_Preakness_Stakes,2000,0.3
27,3,3,Impeachment,_Preakness_Stakes,2000,19.1
28,4,6,Captain Steve,_Preakness_Stakes,2000,11.5
29,5,2,Snuck In,_Preakness_Stakes,2000,19.6
30,6,1,Hugh Hefner,_Preakness_Stakes,2000,49.7
31,7,5,High Yield,_Preakness_Stakes,2000,7.3
32,8,8,Hal's Hope,_Preakness_Stakes,2000,35.1
33,1,11,Point Given,_Preakness_Stakes,2001,2.3
34,2,4,A P Valentine,_Preakness_Stakes,2001,10.2
35,3,5,Congaree,_Preakness_Stakes,2001,2.8
36,4,10,Dollar Bill,_Preakness_Stakes,2001,8.3
37,5,3,Griffinite,_Preakness_Stakes,2001,59.1
38,6,7,Monarchos,_Preakness_Stakes,2001,2.3
39,7,1,Marciano,_Preakness_Stakes,2001,46.3
40,8,9,Bay Eagle,_Preakness_Stakes,2001,88.3
