,Base,Bet Type,Winning Numbers,Payout,Track,Year
0,$2,Exacta:,(11–10),$14.80,_Preakness_Stakes,1998
1,$2,Trifecta:,(11–10–3),$97.40,_Preakness_Stakes,1998
2,$1,Superfecta:,(11–10–3–8),$270.80,_Preakness_Stakes,1998
3,$2,Exacta:,(6–5),$47.60,_Preakness_Stakes,1999
4,$2,Trifecta:,(6–5–4),"$2,049.80",_Preakness_Stakes,1999
5,$1,Superfecta:,(6–5–4–11),"$18,887.60",_Preakness_Stakes,1999
6,$2,Exacta:,(4–7),$24.00,_Preakness_Stakes,2000
7,$2,Trifecta:,(4–7–3),$115.80,_Preakness_Stakes,2000
8,$1,Superfecta:,(4–7–3–6),$235.50,_Preakness_Stakes,2000
9,$2,Exacta:,(11–4),$81.40,_Preakness_Stakes,2001
10,$2,Trifecta:,(11–4–5),$279.00,_Preakness_Stakes,2001
11,$1,Superfecta:,(11–4–5–10),$717.13,_Preakness_Stakes,2001
12,$2,Exacta:,(8–2),$327.00,_Preakness_Stakes,2002
13,$2,Trifecta:,(8–2–12),"$2,311.00",_Preakness_Stakes,2002
14,$1,Superfecta:,(8–2–12–6),"$6,701.50",_Preakness_Stakes,2002
15,$2,Exacta:,(9–6),$120.60,_Preakness_Stakes,2003
16,$2,Trifecta:,(9–6–1),$684.20,_Preakness_Stakes,2003
17,$1,Superfecta:,(9–6–1–7),$792.20,_Preakness_Stakes,2003
18,$2,Exacta:,(7–10),$24.60,_Preakness_Stakes,2004
19,$2,Trifecta:,(7–10–9),$177.20,_Preakness_Stakes,2004
20,$1,Superfecta:,(7–10–9–1),$230.70,_Preakness_Stakes,2004
21,$2,Exacta:,(12–5),$152.60,_Preakness_Stakes,2005
22,$1,Trifecta:,(12–5–13),$872.00,_Preakness_Stakes,2005
23,$1,Superfecta:,(12–5–13–10),"$10,362.30",_Preakness_Stakes,2005
24,$2,Exacta:,(8–7),$171.60,_Preakness_Stakes,2006
25,$2,Trifecta:,(8–7–3),"$3,912.80",_Preakness_Stakes,2006
26,$1,Superfecta:,(8–7–3–5),"$11,151.20",_Preakness_Stakes,2006
27,$2,Exacta:,(4-8),$23.20,_Preakness_Stakes,2007
28,$1,Trifecta:,(4-8-7),$50.00,_Preakness_Stakes,2007
29,$1,Superfecta:,(4-8-7-9),$340.30,_Preakness_Stakes,2007
30,$2,Exacta:,(7-1),$36.60,_Preakness_Stakes,2008
31,$2,Trifecta:,(7-1-3),$336.80,_Preakness_Stakes,2008
32,$1,Superfecta:,(7-1-3-6),"$1,192.30",_Preakness_Stakes,2008
33,$1,Exacta:,(13-2),$19.60,_Preakness_Stakes,2009
34,$1,Trifecta:,(13-2-3),$108.10,_Preakness_Stakes,2009
35,$1,Superfecta:,(13-2-3-10),"$2,903.80",_Preakness_Stakes,2009
36,$2,Exacta:,(7-11),$188.00,_Preakness_Stakes,2010
37,$1,Trifecta:,(7-11-6),"$1,385.50",_Preakness_Stakes,2010
38,$1,Superfecta:,(7–11–6–5),"$17,126.00",_Preakness_Stakes,2010
39,$2,Exacta:,(5-11),$114.10[4],_Preakness_Stakes,2011
40,$1,Trifecta:,(5-11-1),$700.90[4],_Preakness_Stakes,2011
41,$1,Superfecta:,(5-11-1-10),"$3,106.30[4]",_Preakness_Stakes,2011
42,$2,Exacta:,(9–7),$18.60[5],_Preakness_Stakes,2012
43,$2,Trifecta:,(9–7–6),$70.80[5],_Preakness_Stakes,2012
44,$1,Superfecta:,(9–7–6–4),$424.30[5],_Preakness_Stakes,2012
45,$2,Exacta:,(6-9),$301.40[4],_Preakness_Stakes,2013
46,$2,Trifecta:,(6-9-5),"$2,061.60[4]",_Preakness_Stakes,2013
47,$1,Superfecta:,(6-9-5-1),"$1,817.80[4]",_Preakness_Stakes,2013
48,$2,Exacta:,(3-10),$18.20[11],_Preakness_Stakes,2014
49,$2,Trifecta:,(3-10-8),$76.00[11],_Preakness_Stakes,2014
50,$1,Superfecta:,(3-10-8-2),$173.80[11],_Preakness_Stakes,2014
51,$2,Exacta,(1-5),$124.40,_Preakness_Stakes,2015
52,$2,Trifecta,(1-5-7),$985.00,_Preakness_Stakes,2015
53,$1,Superfecta,(1-5-7-2),"$1,906.90",_Preakness_Stakes,2015
54,$2,Exacta:,(2-12),$291.80,_Kentucky_Derby,1998
55,$2,Trifecta:,(2-12-7),"$1,221.00",_Kentucky_Derby,1998
56,$1,Superfecta:,(2-12-7-3),"$3,007.40[2]",_Kentucky_Derby,1998
57,$2,Exacta:,(11-13),$727.80,_Kentucky_Derby,1999
58,$2,Trifecta:,(11-13-8),"$5,866.20",_Kentucky_Derby,1999
59,$1,Superfecta:,(11-13-8-9),"$24,015.50[3]",_Kentucky_Derby,1999
60,$2,Exacta:,(12-5),$66.00,_Kentucky_Derby,2000
61,$2,Trifecta:,(12-5-1c),$435.00,_Kentucky_Derby,2000
62,$1,Superfecta:,(12-5-1c-9),"$1,635.40[3]",_Kentucky_Derby,2000
63,$2,Exacta:,(16-13),"$1,229.00",_Kentucky_Derby,2001
64,$2,Trifecta:,(16-13-8),"$12,238.40",_Kentucky_Derby,2001
65,$1,Superfecta:,(16-13-8-4),"$62,986.90[2]",_Kentucky_Derby,2001
66,$2,Exacta:,(5-13),"$1,300.80",_Kentucky_Derby,2002
67,$2,Trifecta:,(5-13-3),"$18,373.20",_Kentucky_Derby,2002
68,$1,Superfecta:,(5-13-3-9),"$91,764.50[2]",_Kentucky_Derby,2002
69,$2,Exacta:,(6-12),$97.00,_Kentucky_Derby,2003
70,$2,Trifecta:,(6-12-5),$664.80,_Kentucky_Derby,2003
71,$1,Superfecta:,(6-12-5-4),"$2,795.80[2]",_Kentucky_Derby,2003
72,$2,Exacta:,(15-3),$65.20,_Kentucky_Derby,2004
73,$2,Trifecta:,(15-3-10),$987.60,_Kentucky_Derby,2004
74,$2,Superfecta:,(15-3-10-1),"$41,380.20[2]",_Kentucky_Derby,2004
75,$2,Exacta:,(10-18),"$9,814.80",_Kentucky_Derby,2005
76,$2,Trifecta:,(10-18-12),"$133,134.80",_Kentucky_Derby,2005
77,$1,Superfecta:,(10-18-12-17),"$864,253.50[2]",_Kentucky_Derby,2005
78,$2,Exacta:,(8-13),$587.00,_Kentucky_Derby,2006
79,$2,Trifecta:,(8-13-2),"$11,418.40",_Kentucky_Derby,2006
80,$2,Superfecta:,(8-13-2-1),"$84,860.40",_Kentucky_Derby,2006
81,$2,Superfecta:,(8-13-2-18),"$59,839.00",_Kentucky_Derby,2006
82,$2,Exacta:,(7-8),$101.80,_Kentucky_Derby,2007
83,$2,Trifecta:,(7-8-2),$440.00,_Kentucky_Derby,2007
84,$2,Superfecta,(7-8-2-5),"$29,046.40",_Kentucky_Derby,2007
85,$2,Exacta,(20-5),$141.60,_Kentucky_Derby,2008
86,$2,Trifecta,(20-5-16),"$3,445.60",_Kentucky_Derby,2008
87,$2,Superfecta,(20-5-16-2),"$58,737.80[3]",_Kentucky_Derby,2008
88,$1,Exacta:,(8-16),"$1,037.30",_Kentucky_Derby,2009
89,$1,Trifecta:,(8-16-2),"$20,750.30",_Kentucky_Derby,2009
90,$1,Superfecta:,(8-16-2-7),"$278,503.20",_Kentucky_Derby,2009
91,$2,Exacta:,(4–2),$152.40[1],_Kentucky_Derby,2010
92,$1,Trifecta:,(4–2–10),"$1,168.70[1]",_Kentucky_Derby,2010
93,$1,Superfecta:,(4–2–10–9),"$101,284.60[1]",_Kentucky_Derby,2010
94,$2,Exacta:,(16–19),$329.80[4],_Kentucky_Derby,2011
95,$2,Trifecta:,(16–19-13),"$3,952.40[4]",_Kentucky_Derby,2011
96,$2,Superfecta:,(16–19-13-14),"$48,126.00[4]",_Kentucky_Derby,2011
97,$2,Exacta:,(19–6),$306.60[1],_Kentucky_Derby,2012
98,$2,Trifecta:,(19–6–5),"$3,065.60[1]",_Kentucky_Derby,2012
99,$2,Superfecta:,(19–6–5–13),"$96,092.80[1]",_Kentucky_Derby,2012
100,$2,Exacta:,(16–4),$981.60[2],_Kentucky_Derby,2013
101,$1,Trifecta:,(16–4–3),"$3,462.80[2]",_Kentucky_Derby,2013
102,$1,Superfecta:,(16–4–3–5),"$28,542.00[2]",_Kentucky_Derby,2013
103,$2,Exacta:,(5–17),$340.00[1],_Kentucky_Derby,2014
104,$2,Trifecta:,(5–17–4),"$3,424.60[1]",_Kentucky_Derby,2014
105,$2,Superfecta:,(5–17–4–20),"$15,383.80[1]",_Kentucky_Derby,2014
106,$2,Exacta:,(18–10),$72.60[2],_Kentucky_Derby,2015
107,$2,Trifecta:,(18–10–8),$202.00[2],_Kentucky_Derby,2015
108,$2,Superfecta:,(18–10–8–15),"$1,268.20[2]",_Kentucky_Derby,2015
109,$2,Exacta,(8-9),$92.00,_Belmont_Stakes,2006
110,$2,Trifecta,(8-9-2),$436.00,_Belmont_Stakes,2006
111,$2,Superfecta,(8-9-2-11),"$1,085.00",_Belmont_Stakes,2006
112,$2,Exacta,(6-4),$659.00,_Belmont_Stakes,2008
113,$2,Trifecta,(6-4-8),"$3,703.00",_Belmont_Stakes,2008
114,$2,Trifecta,(6-4-9),"$3,954.00",_Belmont_Stakes,2008
